Goggle#,FID,Description,VisitBy,Comments,SpotMon,ContMon,River,Priority,Easting,Northing,MonType
1,0,Lopwell Dam,NG/PB,Acess to compound required for continuous monitoring - security clearly and issue,Y,Y,River Tavy,1,247464,64990,1
2,1,Denham Bridge,, ,,,Lower River Tavy,1,247689,67875,1
3,2,Denham Lodge Weir,, ,,,Lower River Tavy,1,247636,68177,2
4,3,Grenofen Bridge,, ,,,River Walkham,1,249002,70975,1
5,4,Walkham U/S con Tavy,,Bit of a walk in,,,River Walkham,1,247612,69880,1
6,5,Grenofen Bridge Weir,, ,,,River Walkham,1,249098,70829,2
7,6,Gem Bridge,, ,,,River Walkham,2,249508,70509,1
8,7,Horrabridge weir,, ,,,River Walkham,1,251333,69906,2
9,8,Bedford Bridge,, ,,,River Walkham,2,250406,70354,1
10,9,Weir U/S Horrabridge,, ,,,River Walkham,1,252261,69853,2
11,10,Walkhampton,, ,,,Black Brook,3,253311,69686,1
12,11,Black Brook U/S con Walkham,, ,,,Black Brook,3,252862,70187,1
13,12,Hickworthy Bridge,, ,,,River Walkham,3,253146,70529,1
14,13,Eggworthy House Bridge,, ,,,River Walkham,3,254198,72015,1
15,14,Merrivale Farm,,Might be interesting as only moorland,,,River Walkham,1,254984,75085,2
16,15,Grimstone Head Weir,,Possibly too far upstream,,,River Walkham,3,255295,77304,2
17,16,Withill Farm,, ,,,Unnamed trib of River Walkham,3,254875,72771,1
18,17,Bedford Road,,Has agricutural but not moorland catchment,,,Unnamed trib of River Walkham,1,251647,69955,1
19,18,Sewage Works driveway,, ,,,Unnamed trib of River Walkham,1,249946,70487,1
20,19,FB over Lumburn U/S conf Tavy,, ,,,River Lumburn,1,246628,71734,1
21,20,Shillamill,, ,,,River Lumburn,1,246652,71947,2
22,21,Lumburn Bridge,, ,,,River Lumburn,3,245969,73094,1
23,22,Morwelldown Cannal viaduct Weir,, ,,,River Lumburn,3,246264,72610,2
24,23,Middle Lumburn Bridge,, ,,,River Lumburn,3,245412,74228,1
25,24,High Lumburn Bridge,,Just down from quarry and fisheries,,,River Lumburn,2,245275,74673,1
26,25,Langford Farm,, ,,,Unnamed trib of River Lumburn,3,245830,75810,1
27,26,Rushford Bridge,, ,,,River Lumburn,3,244954,76319,1
28,27,Lamerton Bridge,, ,,,River Lumburn,3,244848,76898,1
29,28,Great Haye Farm track bridge,,Probably too high up stream,,,River Lumburn,3,244682,77764,1
30,29,Lamerton foot bridge,,Possibly too far upstream,,,Unnamed trib of River Lumburn,3,245152,76871,0
31,30,Court Barton,,Possibly too far upstream,,,Unnamed trib of River Lumburn,3,245408,77409,1
32,31,Hawthorn Road Bridge,, ,,,Tiddy Brook,2,248315,72886,0
33,32,Tiddybrook Barn Bridge,, ,,,Tiddy Brook,2,247802,73056,1
34,33,Bridge D/S supermarket,, ,,,Tiddy Brook,2,247876,73061,1
35,34,U/S supermarket,, ,,,Tiddy Brook,2,247969,73051,1
36,35,Anderton Court foot bridge,, ,,,Unnamed trib of Tiddy Brook,3,249050,72528,1
37,36,A386 bridge,, ,,,Tiddy Brook,2,248126,72979,1
38,37,Mulbery Grove Bridge,, ,,,Tiddy Brook,2,248376,72869,1
39,38,Anderton Lane,, ,,,Unnamed trib of Tiddy Brook,3,248800,72496,1
40,39,Oak Road,, ,,,Tiddy Brook,2,248510,72798,1
41,40,Sycamore Avenue foot bridge,, ,,,Tiddy Brook,2,248435,72836,1
42,41,Whitchurch Road,, ,,,Unnamed trib of Tiddy Brook,3,249355,71790,1
43,42,Ash Farm,, ,,,Unnamed trib of Tiddy Brook,3,248894,72203,1
44,43,Anderton Court,, ,,,Unnamed trib of Tiddy Brook,3,249076,72526,1
45,44,Whitchurch Road,, ,,,Unnamed trib of Tiddy Brook,3,249153,72514,1
46,45,Burnside,, ,,,Unnamed trib of Tiddy Brook,3,249627,72778,1
47,46,Shortsland Bridge,, ,,,Unnamed trib of Tiddy Brook,3,249762,72842,0
48,47,Shorts Land Cottage Bridge,, ,,,Unnamed trib of Tiddy Brook,3,249893,72907,1
49,48,Tavistock Weir,,Possible EA hydrometric site,,,River Tavy,1,248218,74302,2
50,49,Footbridge at conf with River Tavy,, ,,,Unnamed trib of River Tavy,1,249046,74837,1
51,50,Pennycomequick,, ,,,Unnamed trib of River Tavy,3,251446,74054,1
52,51,Mount Tavy Road,, ,,,Unnammed trib of River Tavy,2,249306,74679,1
53,52,Whitchurch COmmon,, ,,,Unnamed trib of River Tavy,3,250882,74146,1
54,53,Taviton Cottages,, ,,,Unnammed trib of River Tavy,2,249486,74797,1
55,54,Old Exeter Road,, ,,,River Wallabrook,2,249170,75483,0
56,55,River Wallabrook,, ,,,River Wallabrook,2,249284,75409,1
57,56,The Willows,, ,,,River Wallabrook,3,247658,78238,1
58,57,Union Mine Road footbridge,, ,,,River Burn,2,249828,76203,1
59,58,Half Bridge,, ,,,River Burn,2,250229,76655,1
60,59,Station House,, ,,,River Burn,3,248621,81186,1
61,60,Burnford,, ,,,River Burn,3,249788,78718,1
